Probeta;ID-3;ID-4;Fecha;Colada Nº;Calidad;Cantidad PF/ Detalle;Cantidad Aros / Detalle;C;Si;Mn;P;S;Cr;Ni;Mo;Cu;V
AR 1344;;CRIS;25/08/2010;189 F H4;WCB;CPO C8-600;;0,213;0,474;0,91;0,023;0,022;0,104;0,078;0,021;0,104;0,006
AR 1348;AR1348/BALANCINES;CARRERA;01/07/2010;785 F H2;WCB;CPO SC 14-150(3);;0,227;0,472;0,87;0,013;0,011;0,207;0,083;0,019;0,041;<0.001
AR 1351;;CRIS;26/08/2010;193 F H3;WCB;4 CAJAS;;0,197;0,421;0,91;0,026;0,025;0,057;0,067;0,019;0,102;0,004
AR 1353;;CARRERA;31/08/2010;218 F H3;WCB;CPO E6-30 C/ACHICA BRIDA(1);;0,229;0,54;0,85;0,014;0,011;0,046;0,038;0,015;0,027;0,002
AR 1355;LT ING;CARRERA;19/08/2010;1033 F H1;WCB;PLACA ENG(8);;0,213;0,488;0,92;0,017;0,009;0,161;0,109;0,036;0,022;0,005
AR 1356;;CRIS;17/08/2010;1017 F H1;WCB;CPO TL 2.5-150;;0,223;0,388;1,02;0,025;0,022;0,083;0,086;0,023;0,063;0,003
AR 1357;LT ING;CARRERA;19/08/2010;1033 F H1;WCB;PLACA ENG(8);;0,213;0,488;0,92;0,017;0,009;0,161;0,109;0,036;0,022;0,005
AR 1358;COMNAC;RICHARD;07/07/2010;17F  H3;WCB;BARRON  187685  POS. 33(1)   V;;0,203;0,385;0,8;0,016;0,009;0,091;0,037;0,02;0,035;0,001
AR 1359;GIACOMETTI;CRIS;07/08/2010;980 F H1;SAE 4140;TAPONES TL 2-150(2COLUM);BUJE-CAMISA ROLADORA;0,404;0,35;0,92;0,031;0,023;0,92;0,056;0,184;0,054;0,009
AR 1360;;CARRERA;29/07/2010;938 F H2;WCB;TPA-PORTA-PAL-PRENSA-REDONDA#2;VTE E 10-150#7/PLAQ.INF.#24;0,232;0,499;1,08;0,021;0,008;0,134;0,077;0,017;0,017;0,003
AR 1360;AR 1360;CRIS;06/07/2010;WC9;WC9;;;0,166;0,61;0,59;0,018;0,01;2,21;0,051;0,91;0,036;0,022
AR 1361;;CRIS;27/07/2010;58 F H3;WCB;CPO 6-300(1);;0,216;0,419;0,94;0,022;0,009;0,052;0,034;0,014;0,014;0,003
AR 1363;AR1261/AR1323/AR1306/AR1363;CARRERA;13/07/2010;843 F H1;WCB;CPO TL 2.5-150(1)CPO TULSA(6);;0,236;0,481;0,8;0,019;0,015;0,126;0,035;0,018;0,035;0,007
AR 1364;;CARRERA;15/07/2010;62 F H4;WCB;CONO LT 2.5-150(2)-CPO TL2.5-1;VOL E4-600(3)-TENSOR FIJO(216);0,188;0,426;0,85;0,015;0,022;0,058;0,029;0,018;0,063;0,003
AR 1365;SYLWAN;CARRERA;19/07/2010;79 F H4;WCB;CPO LT 2.5-150(4);BRIDA CON CABEZAL(10;0,2;0,493;0,79;0,015;0,012;0,036;0,027;0,012;0,041;0,003
AR 1366;;CARRERA;29/07/2010;938 F H2;WCB;TPA-PORTA-PAL-PRENSA-REDONDA#2;VTE E 10-150#7/PLAQ.INF.#24;0,232;0,499;1,08;0,021;0,008;0,134;0,077;0,017;0,017;0,003
AR 1367;ICEMEC;CRIS;22/07/2010;39/901 F H3-H1;SAE 4140;BRAZO DERECHO(2)-BRAZO IZQUIER;PORTA HERRAMIENTA(2)-TAPONES T;0,419;0,35;0,95;0,023;0,015;0,88;0,044;0,179;0,039;0,012
AR 1369;LODOLO;RICHARD;20/07/2010;82F  H4;WCB;CUERPO E 6"900(1)/LODOLO GUIAS;;0,191;0,421;0,89;0,016;0,009;0,033;0,031;0,016;0,021;0,004
AR 1370;;RICHARD;21/07/2010;87F  H4;WCB;CPO E6-900(1);;0,2;0,293;0,89;0,025;0,008;0,184;0,033;0,013;0,015;0,002
AR 1371;;RICHARD;21/07/2010;888F  H1;WCB;CPO E6-900;;0,209;0,31;0,89;0,026;0,009;0,184;0,031;0,014;0,016;0,002
AR 1372;;CRIS;23/07/2010;43 F H3;WCB;CPO E6-900(REP);;0,219;0,408;0,98;0,022;0,008;0,041;0,05;0,016;0,013;0,002
AR 1373;;CARRERA;21/07/2010;34 F H3;WCB;CPO-6900/CPO STUFFIN L8;PLAQ.INF.;0,226;0,56;0,94;0,023;0,008;0,109;0,041;0,016;0,016;0,005
AR 1374;;CRIS;23/07/2010;909 F H1;WCB;CPO E6-900-TPA BUJE;VOL E24-150(2);0,208;0,378;0,72;0,022;0,007;0,071;0,041;0,014;0,015;0,003
AR 1375;AR 1379;;27/07/2010;55 F H3; WCB;;;0,239;0,69;1,01;0,021;0,009;0,063;0,031;0,021;0,016;0,004
AR 1376;;CRIS;27/07/2010;58 F H3;WCB;CPO 6-900(1);;0,216;0,419;0,94;0,022;0,009;0,052;0,034;0,014;0,014;0,003
AR 1377;;CRIS;29/07/2010;74 F H3;WCB;;;0,205;0,432;0,93;0,02;0,009;0,078;0,049;0,015;0,015;0,003
AR 1378;;CARRERA;27/07/2010;62 F H3;WCB;CPO 6-900(1);VOL E12-150(10);0,204;0,468;0,93;0,019;0,008;0,036;0,039;0,011;0,011;0,002
AR 1379;;AR 1375;27/07/2010;55 F H3; WCB;;;0,24;0,7;1;0,021;0,008;0,063;0,033;0,02;0,016;0,004
AR 1380;;CARRERA;27/07/2010;60 F H3;WCB;BTE E6-900;VOL E6-900( 2);0,229;0,408;0,93;0,02;0,009;0,156;0,29;0,015;0,014;0,003
AR 1381;;CRIS;29/07/2010;74 F H3;WCB;TORRE-TPA BUJE;VOL 6-900;0,205;0,432;0,93;0,02;0,009;0,078;0,049;0,015;0,015;0,003
AR 1382;;CRIS;02/08/2010;89 F H3;WCB;TORRE 6-900/TPA BUJE;;0,198;0,442;0,93;0,018;0,007;0,128;0,04;0,017;0,016;0,003
AR 1383;;CRIS;02/08/2010;89 F H3;WCB;TORRE 6-900/TPA BUJE;;0,198;0,442;0,93;0,018;0,007;0,128;0,04;0,017;0,016;0,003
AR 1384;LODOLO-LTING;CARRERA;04/08/2010;964 F H2;WCB;4 CAJAS-GUIAS B2158(96);PTRA DE LANZA(4)-PLACA ENG(4);0,224;0,429;1,06;0,018;0,011;0,057;0,045;0,022;0,042;0,002
AR 1385;;CRIS;11/08/2010;130 F H4;WCB;CPO G8-150;VOL E8-150(12);0,219;0,51;0,97;0,019;0,012;0,089;0,039;0,023;0,031;0,003
AR 1386;LT ING;CARRERA;17/08/2010;1022 F H1;WCB;;CUNA E10-150(2)-PLACA ENG(8);0,206;0,449;0,95;0,017;0,012;0,134;0,046;0,016;0,035;0,002
AR 1387;;CARRERA;17/08/2010;1021 F H1;WCB;;;0,198;0,393;0,94;0,019;0,01;0,109;0,047;0,016;0,031;0,003
AR 1388;;CRIS;12/08/2010;997 F H1;WCB;;;0,236;0,361;1,02;0,019;0,017;0,149;0,064;0,02;0,053;0,002
AR 1389;;CRIS;23/08/2010;1045 F H1;WCB;;;0,225;0,384;0,82;0,02;0,018;0,147;0,074;0,024;0,06;0,004
AR 1390;LODOLO;CARRERA;02/08/2010;92 F H3;WCB;ANILLO C2-300(18)-BRIDA 2158(3;TENS REG.(80)-PRENSA (GIRON)E8;0,226;0,52;0,73;0,017;0,009;0,171;0,06;0,034;0,014;0,004
AR 1391;;CRIS;02/08/2010;88 F H3;WCB;CPO 10-150 (PARCIAL X 1);;0,238;0,458;0,86;0,02;0,011;0,281;0,084;0,017;0,016;0,005
AR 1392;;CRIS;02/08/2010;88 F H3;WCB;CPO 10-150 (2);;0,238;0,46;0,86;0,021;0,011;0,281;0,084;0,017;0,017;0,005
AR 1393;;CRIS;02/08/2010;88 F H3;WCB;CPO 10-150 PARCIAL X 1;;0,238;0,459;0,86;0,02;0,011;0,281;0,084;0,017;0,016;0,005
AR 1394;;CRIS;02/08/2010;89 F H3;WCB;CPO 10-150 (PARCIAL);;0,198;0,442;0,93;0,018;0,007;0,128;0,04;0,017;0,016;0,003
AR 1395;;CARRERA;02/08/2010;93 F H3;WCB;CPO E10-150;;0,21;0,58;1,04;0,018;0,007;0,048;0,033;0,017;0,013;0,002
AR 1396;;CRIS;05/08/2010;968 F H1;WCB;CPO E10-150;VOL 6-900;0,219;0,462;0,88;0,016;0,014;0,106;0,048;0,021;0,052;0,002
AR 1397;;CARRERA;06/08/2010;979 F H1;WCB;;;0,221;0,6;1,08;0,015;0,012;0,131;0,042;0,021;0,061;0,003
AR 1398;FABRIMAQ;CRIS;10/08/2010;125 F H4;WCB;;CPO (2);0,217;0,49;0,95;0,019;0,014;0,065;0,039;0,018;0,04;0,003
AR 1399;;CRIS;06/08/2010;112 F H4;WCB;PTRA DE LANZA(48);;0,211;0,51;0,97;0,02;0,023;0,092;0,034;0,026;0,047;0,003
AR 1400;;CRIS;07/08/2010;115 F H4;WCB;CPO E10-150(1);;0,217;0,475;0,98;0,023;0,021;0,159;0,041;0,042;0,058;0,007
AR 1401;;CRIS;09/08/2010;982 F H1;WCB;CPO E10-150(1);;0,221;0,485;1,05;0,023;0,016;0,119;0,036;0,019;0,035;0,005
AR 1402;LT ING;CARRERA;09/08/2010;122 F H4;WCB;CPO E10-150(2);PLACA ENG(4)-VOL E2-150(12)-VO;0,193;0,48;0,89;0,019;0,014;0,081;0,039;0,019;0,027;0,003
AR 1403;;CRIS;11/08/2010;992 F H1;WCB;CPO E10-150(2);;0,237;0,52;0,98;0,014;0,008;0,056;0,037;0,015;0,023;0,002
AR 1404;;CRIS;11/08/2010;993 F H1;WCB;CPO E10-150;;0,23;0,454;0,99;0,015;0,01;0,067;0,037;0,017;0,024;0,002
AR 1405;;CRIS;11/08/2010;131 F H4;WCB;CPO E10-150(2);VOL E8-150;0,227;0,456;0,91;0,016;0,007;0,082;0,074;0,018;0,023;0,002
AR 1406;;CARRERA;11/08/2010;136 F H4;WCB;CPO E10-150;;0,238;0,51;0,94;0,024;0,02;0,093;0,051;0,023;0,048;0,004
AR 1407;;CRIS;13/08/2010;1004 F H1;WCB;CPO E10-150;;0,223;0,484;0,92;0,028;0,012;0,158;0,056;0,017;0,022;0,003
AR 1408;;CRIS;13/08/2010;143 F H4;WCB;CPO E10-150;;0,225;0,428;0,98;0,022;0,018;0,068;0,056;0,018;0,044;0,003
AR 1409;;CRIS;17/08/2010;154 F H4;WCB;CPO E10-150;PLAQ INF;0,221;0,431;0,99;0,024;0,018;0,159;0,108;0,029;0,065;0,003
AR 1410;;CRIS;18/08/2010;156 F H4;WCB;;;0,204;0,41;0,88;0,017;0,014;0,065;0,044;0,014;0,026;0,001
AR 1411;;CRIS;02/08/2010;89 F H3;WCB;BTE 10-150;;0,198;0,442;0,93;0,018;0,007;0,128;0,04;0,017;0,016;0,003
AR 1412;;CARRERA;02/08/2010;92 F H3;WCB;BTE E10-150(85);TENS REG.(80)-PRENSA (GIRON)E8;0,226;0,52;0,73;0,017;0,009;0,171;0,06;0,034;0,014;0,004
AR 1413;;CRIS;05/08/2010;103 F H4;WCB;BTE 10-150;;0,212;0,46;1,08;0,018;0,016;0,091;0,047;0,025;0,058;0,002
AR 1414;;CRIS;04/08/2010;959 F H2;WCB;BTE 10-150(5);;0,244;0,391;0,77;0,019;0,008;0,206;0,056;0,032;0,014;0,003
AR 1415;;CRIS;09/08/2010;985F H1;WCB;BTE E10-150(5);;0,243;0,55;0,82;0,022;0,014;0,081;0,057;0,021;0,059;0,004
AR 1416;;CRIS;11/08/2010;130 F H4;WCB;BTE E10-150(5);VOL E8-150(12);0,219;0,51;0,97;0,019;0,012;0,089;0,039;0,023;0,031;0,003
AR 1417;;CRIS;11/08/2010;991 F H1;WCB;BTE E10-150(5);;0,23;0,49;1;0,019;0,011;0,092;0,04;0,018;0,023;0,003
AR 1418;;CARRERA;12/08/2010;140 F H4;WCB;PLAQ.INF.#150;PLAQ SUP(78);0,221;0,493;0,98;0,019;0,012;0,138;0,163;0,022;0,037;0,003
AR 1419;;CARRERA;09/08/2010;121 F H4;WCB;CUNA E10-150(12);;0,217;0,57;1,08;0,017;0,012;0,07;0,034;0,016;0,027;0,002
AR 1420;LT ING;CRIS;10/08/2010;124 F H4;WCB;CUNA E10-150;VOL E3-150-4 PIEZAS;0,186;0,422;0,92;0,015;0,011;0,058;0,037;0,019;0,028;0,002
AR 1423;;CRIS;01/09/2010;1094 F H2;WCB;TPA 2.5-150(4);ANILLO 2.5-150(5 CAJAS)-BALANC;0,21;0,484;0,87;0,024;0,011;0,063;0,041;0,018;0,019;0,002
AR 1424;;CRIS;27/09/2010;1224 F H2;WCB;CPO E2.5-150(12);;0,226;0,465;0,94;0,017;0,011;0,148;0,064;0,018;0,025;0,005
AR 1425;;CARRERA;31/08/2010;216 F H3;WCB;CPO E6-300;;0,208;0,41;0,87;0,022;0,015;0,088;0,052;0,019;0,028;0,003
AR 1426;;CARRERA;02/08/2010;93 F H3;WCB;CANT(1);;0,21;0,58;1,04;0,018;0,007;0,048;0,033;0,017;0,013;0,002
AR 1427;;CRIS;05/08/2010;969 F H1;WCB;CPO E6-300(2);;0,211;0,442;0,95;0,018;0,015;0,056;0,031;0,019;0,053;0,002
AR 1428;;CRIS;05/08/2010;103 F H4;WCB;CPO E6-300(2);;0,212;0,46;1,08;0,018;0,016;0,091;0,047;0,025;0,058;0,002
AR 1429;;CRIS;05/08/2010;103 F H4;WCB;CPO E6-300(2);;0,212;0,46;1,08;0,018;0,016;0,091;0,047;0,025;0,058;0,002
AR 1430;;CRIS;05/08/2010;104 F H4;WCB;CPO E6-300(2);;0,231;0,455;1;0,018;0,017;0,055;0,041;0,021;0,039;0,003
AR 1431;;CRIS;06/08/2010;112 F H4;WCB;PTRA DE LANZA(48);;0,211;0,51;0,97;0,02;0,023;0,092;0,034;0,026;0,047;0,003
AR 1432;;CRIS;07/08/2010;115 F H4;WCB;CPO E6-300(1);;0,217;0,475;0,98;0,023;0,021;0,159;0,041;0,042;0,058;0,007
AR 1433;;CRIS;09/08/2010;117 F H4;WCB;CPO E6-300(2);;0,233;0,489;0,9;0,024;0,018;0,111;0,067;0,028;0,04;0,004
