Probeta;ID-3;ID-4;Fecha;Colada Nº;Calidad;Cantidad PF/ Detalle;Cantidad Aros / Detalle;C;Si;Mn;P;S;Cr;Ni;Mo;Cu;V
AR 1788;;CARRERA;09/11/2010;513 F H4;WCB;PZAS(1);;0,223;0,58;0,95;0,014;0,01;0,048;0,046;0,016;0,021;0,004
AR 1789;;CRIS;09/11/2010;512 F H4;WCB;PZAS(1);VOL(12)-VOL E10-150(10);0,216;0,51;1,02;0,019;0,014;0,047;0,051;0,017;0,018;0,003
AR 1790;;CARRERA;09/11/2010;514 F H4;WCB;PZAS(1);;0,21;0,59;0,93;0,018;0,013;0,039;0,043;0,016;0,021;0,003
AR 1791;;CARRERA;09/11/2010;514 F H4;WCB;PZAS(1);;0,21;0,59;0,93;0,018;0,013;0,039;0,043;0,016;0,021;0,003
AR 1792;AMRO;CRIS;29/10/2010;469 F H3;WCB;TPA C3-300;PLAQ INF-OJAL DE LANZA;0,227;0,41;0,84;0,015;0,013;0,042;0,049;0,014;0,036;0,005
AR 1793;;CARRERA;09/11/2010;515 F H4;WCB;PZAS(3);;0,214;0,58;0,92;0,019;0,014;0,054;0,05;0,016;0,024;0,002
AR 1795;;CARRERA;29/10/2010;471 F H3;WCB;PZAS(3);VOL E10-150(4);0,194;0,423;0,86;0,013;0,01;0,059;0,046;0,013;0,027;0,004
AR 1796;;CARRERA;29/10/2010;471 F H3;WCB;PZAS(5);VOL E10-150(4);0,194;0,423;0,86;0,013;0,01;0,059;0,046;0,013;0,027;0,004
AR 1797;;CRIS;02/11/2010;479 F H4;WCB;PZA(1);;0,205;0,431;0,86;0,015;0,013;0,068;0,046;0,016;0,025;0,002
AR 1798;;CARRERA;02/11/2010;484 F H4;WCB;PZAS(1);;0,192;0,405;0,76;0,015;0,011;0,04;0,044;0,013;0,023;0,004
AR 1799;;CARRERA;09/11/2010;514 F H4;WCB;PZAS(1);;0,21;0,59;0,93;0,018;0,013;0,039;0,043;0,016;0,021;0,003
AR 1800;;CARRERA;02/11/2010;485 F H4;WCB;PZAS(1);VOL E10-150(5);0,211;0,444;0,77;0,016;0,01;0,045;0,047;0,012;0,023;0,006
AR 1801;FACCIOLI;CRIS;02/11/2010;483 F H4;WCB;PZAS(1);VOL(6);0,223;0,445;0,77;0,017;0,015;0,052;0,048;0,015;0,024;0,002
AR 1802;;CARRERA;02/11/2010;486 F H4;WCB;PZAS(1);BALANCINES(10);0,246;0,438;0,72;0,015;0,012;0,044;0,043;0,015;0,027;0,004
AR 1807;;CRIS;11/11/2010;523 F H3;WCB;CPO E4-600;;0,226;0,455;0,98;0,017;0,013;0,059;0,049;0,018;0,027;0,002
AR 1808;;CRIS;09/11/2010;512 F H4;WCB;PZAS(3);VOL(12)-VOL E10-150(10);0,216;0,51;1,02;0,019;0,014;0,047;0,051;0,017;0,018;0,003
AR 1809;AMRO;CRIS;29/10/2010;469 F H3;WCB;PLATILLO C2-150;PLAQ INF-OJAL DE LANZA;0,227;0,41;0,84;0,015;0,013;0,042;0,049;0,014;0,036;0,005
AR 1810;;CARRERA;04/11/2010;499 F H4;WCB;PZAS(1);;0,231;0,55;0,92;0,017;0,012;0,063;0,046;0,016;0,024;0,003
AR 1812;;CARRERA;09/11/2010;1418 F H1;WCB;PZAS(2);;0,222;0,56;0,9;0,018;0,013;0,04;0,039;0,016;0,019;0,003
AR 1814;INDELMET;CRIS;04/11/2010;1395 F H2;WCB;CPO G2-150;TAPA A;0,204;0,59;0,99;0,016;0,014;0,121;0,071;0,019;0,028;0,004
AR 1815;PROBETA AR 1773;CARRERA;04/11/2010;498 F H4;WCB;PZAS(2);;0,236;0,5;0,9;0,016;0,011;0,043;0,046;0,013;0,022;0,002
AR 1816;;CRIS;09/11/2010;1415 F H1;WCB;PZAS(4);;0,214;0,389;0,92;0,017;0,011;0,074;0,053;0,021;0,031;0,004
AR 1817;;CARRERA;21/07/2010;894 F H1;WCB;PLACA ENG(2)-PLAQ NF(80);T.REGULABLE(64);0,226;0,454;0,94;0,022;0,012;0,032;0,029;0,014;0,02;0,005
AR 1827;FACCIOLI-AMRO;CRIS;11/11/2010;1426 F H1;WCB;BTE E2-150;VOL-BANANITAS-PLQ SUP(72);0,206;0,5;1,03;0,016;0,012;0,08;0,048;0,022;0,029;0,004
AR 1834;;CRIS;04/11/2010;493 F H4;WCB;CPO E10-150(PARCIAL);;0,205;0,447;0,95;0,014;0,014;0,056;0,05;0,015;0,042;0,005
AR 1904;;CRIS;11/11/2010;521 F H3;WCB;CPO(2);;0,216;0,475;0,91;0,017;0,013;0,06;0,046;0,015;0,028;0,002
AR 1905;;CRIS;11/11/2010;523 F H3;WCB;CPO E4-600;;0,226;0,455;0,98;0,017;0,013;0,059;0,049;0,018;0,027;0,002
AR 1912;;CRIS;04/11/2010;493 F H4;WCB;CPO E8-300;;0,205;0,447;0,95;0,014;0,014;0,056;0,05;0,015;0,042;0,005
AR 1913;PROBETA AR 1815;CARRERA;04/11/2010;498 F H4;WCB;PZAS(1);;0,236;0,5;0,9;0,016;0,011;0,043;0,046;0,013;0,022;0,002
AR 1916;;CARRERA;09/11/2010;515 F H4;WCB;PZAS(1);;0,214;0,58;0,92;0,019;0,014;0,054;0,05;0,016;0,024;0,002
AR 1952;FACCIOLI;CARRERA;03/11/2010;492 F H4;WCB;PZAS(5);VOL(6);0,227;0,436;0,93;0,018;0,013;0,073;0,063;0,015;0,042;0,004
AR 1974;;CARRERA;09/11/2010;513 F H4;WCB;PZAS(3);;0,223;0,58;0,95;0,014;0,01;0,048;0,046;0,016;0,021;0,004
AR 786;;CRIS;10/09/2010;1139 F H1;WCB;CPO E3-300;;0,225;0,465;0,79;0,017;0,01;0,073;0,037;0,013;0,018;0,003
AR 947;;CARRERA;05/08/2010;974 F H1;WCB;CPO G2-150(2);;0,199;0,394;0,81;0,015;0,016;0,065;0,02;0,017;0,064;0,002
AR 996;LODOLO;CRIS;30/07/2010;85 F H3;WCB;ANILLO 10-150(10)-VOL E10-150(;GUIAS 2158(11 CAJAS+3(B2/58-B1;0,19;0,59;0,93;0,021;0,01;0,273;0,131;0,122;0,025;0,006
BLO 004;;;30/08/2010;PATRON 316 - AMRO;AISI 316;CALIBRACION ESPECTROMETRO;;0,029;0,447;1,31;0,027;0,028;17,22;9,91;2,22;0,224;0,093
FERRINOX;FERRINOX;;05/08/2010;CALIB ESPECTROMETRO;AISI 310;;;0,052;0,298;1,56;0,029;0,003;23,69;20,44;0,263;0,18;0,104
G 235;;CRIS;26/08/2010;1061 F H2;WCB;PARCIAL;;0,202;0,313;0,73;0,021;0,024;0,4;0,19;0,039;0,164;0,003
G 239;ICEMEC;CARRERA;24/08/2010;1053 F H1;WCB;PRENSAS E10-150(3-1500)1 CAJA;PATINES(2 CAJAS;0,231;0,54;0,91;0,022;0,017;0,082;0,069;0,017;0,065;0,007
G 240;GIACOMETTI;CARRERA;19/08/2010;166 F H1;WCB;CPO(4);MOD TELGOPOR(2);0,243;0,54;0,84;0,022;0,016;0,06;0,044;0,013;0,023;0,004
G 241;;CRIS;19/08/2010;1029 F H1;WCB;SUPL INF-PLAQ INF;;0,248;0,403;0,73;0,019;0,013;0,165;0,094;0,021;0,086;0,003
G 242;;CARRERA;24/08/2010;1052 F H2;WCB;;;0,207;0,56;0,93;0,017;0,009;0,093;0,053;0,015;0,028;0,007
G 242;AR1452#/ G242#4;CARRERA;23/08/2010;1048 F H1;WCB;;;0,204;0,54;0,79;0,023;0,028;0,295;0,1;0,023;0,156;0,003
G 243;;CRIS;23/08/2010;1044 F H1;WCB;;;0,246;0,393;0,7;0,018;0,014;0,212;0,08;0,02;0,061;0,005
G 243;LT ING;CARRERA;20/08/2010;170 F H3;WCB;PZAS(4);PLACA ENG(12)-2 COLUMNAS S/ID;0,242;0,55;0,89;0,022;0,017;0,107;0,073;0,02;0,048;0,004
G 243;;CARRERA;24/08/2010;1052 F H2;WCB;;;0,207;0,56;0,93;0,017;0,009;0,093;0,053;0,015;0,028;0,007
G 243;;CRIS;20/08/2010;1038 F H1;WCB;CPO RATIGAN;;0,209;0,438;0,81;0,019;0,012;0,129;0,04;0,014;0,02;0,007
G 244;ICEMEC;CARRERA;24/08/2010;1053 F H1;WCB;PRENSAS E10-150(3-1500)1 CAJA;PATINES(2 CAJAS;0,231;0,54;0,91;0,022;0,017;0,082;0,069;0,017;0,065;0,007
G 244;;CRIS;20/08/2010;167 F H3;WCB;;;0,241;0,456;0,91;0,02;0,014;0,051;0,038;0,014;0,027;0,004
G 244;LT ING;CARRERA;20/08/2010;170 F H3;WCB;PZAS(4);PLACA ENG(12)-2 COLUMNAS S/ID;0,242;0,55;0,89;0,022;0,017;0,107;0,073;0,02;0,048;0,004
G 244;;CRIS;23/08/2010;1044 F H1;WCB;;;0,246;0,393;0,7;0,018;0,014;0,212;0,08;0,02;0,061;0,005
G 244;ICEMEC;CRIS;25/08/2010;1058 F H2;WCB;PATINES;;0,218;0,62;0,92;0,028;0,018;0,04;0,046;0,017;0,03;0,002
G 245;GONELLA;CRIS;07/09/2010;1117 F H1;WCB;CPO-BALANCINES(16);GRAMPAS-BISAGRA GIRATORIARIA;0,24;0,437;0,8;0,017;0,011;0,137;0,062;0,017;0,016;0,002
G 245;;CARRERA;07/09/2010;237 F H4;WCB;CPO EMG 1830-30(15);;0,216;0,54;0,82;0,018;0,014;0,09;0,037;0,015;0,025;0,003
G 246;;CARRERA;08/09/2010;246 F H4;WCB;CPO EMG 1830-3;;0,208;0,56;0,9;0,018;0,01;0,066;0,038;0,017;0,02;0,005
G 246;;CRIS;09/09/2010;1133 F H1;WCB;;;0,234;0,414;0,86;0,021;0,014;0,052;0,042;0,014;0,019;0,003
G 246;;CARRERA;08/09/2010;1128 F H1;WCB;CPO EMG 1830-3(6);;0,206;0,51;0,89;0,031;0,013;0,264;0,04;0,016;0,014;0,002
G 247;ROSSMET-FACCIOLI;CARRERA;09/09/2010;252 F H4;WCB;CPO 1830-3(12);ARO N 1(4);0,24;0,58;0,74;0,021;0,016;0,073;0,048;0,015;0,027;0,003
G 247;ROSSMET-SYLWAN-GONELLA;CARRERA;10/09/2010;253 F H4;WCB;CPO EMG 1830-3(8);VOL E8-150(6)-ARO N1(5)-TPA(2);0,206;0,52;0,76;0,02;0,013;0,101;0,046;0,016;0,023;0,005
G 247;ROSSMET-FACCIOLI;CARRERA;10/09/2010;1138 F H1;WCB;VOL(10);TRABA CANOS(12 CAJAS);0,23;0,53;0,85;0,016;0,012;0,083;0,046;0,016;0,02;0,002
G 247;ROSSMET-FACCIOLI;CARRERA;10/09/2010;1138 F H1;WCB;CPO EMG 1830(3)-VOL(10);TRABA CANOS(12 CAJAS);0,23;0,53;0,85;0,016;0,012;0,083;0,046;0,016;0,02;0,002
G 248;;CRIS;13/09/2010;263 F H4;WCB;;;0,241;0,417;0,65;0,016;0,012;0,042;0,035;0,016;0,027;0,008
G 248;LIDERAR;CRIS;10/09/2010;1142 F H1;WCB;CPO EMG 1830-3;PLACA;0,242;0,484;1,19;0,018;0,01;0,066;0,048;0,026;0,017;0,009
G 248;;CRIS;14/09/2010;1158 F H1;WCB;;;0,211;0,472;0,98;0,012;0,018;0,057;0,032;0,018;0,063;0,001
G 249;;CRIS;14/09/2010;1157 F H1;WCB;CPO EMG 1830-3;;0,221;0,57;0,94;0,013;0,02;0,058;0,037;0,016;0,065;0,002
G 249;;CRIS;14/09/2010;1154 F H1;WCB;CPO EMG 1830;OJAL DE LANZA-SEGURO DE GANCHO;0,197;0,6;0,9;0,013;0,024;0,236;0,036;0,017;0,058;0,004
G 249;;CRIS;14/09/2010;1155 F H1;WCB;CPO EMG 1830-3;;0,191;0,49;0,91;0,01;0,017;0,074;0,033;0,016;0,068;0,002
G 250;ICEMEC;CARRERA;13/10/2010;404 F H3;WCB;CPO EMG 1830(5)/PORTARODAMIENT;MOD.457#10/VTE E 3-00#7;0,232;0,6;0,92;0,015;0,01;0,052;0,047;0,015;0,017;0,006
G 250;PETINARI;CARRERA;12/10/2010;398 F H3;WCB;CPO EMG 1830(20)-CPO E2-150(MU;MOD 503(120)-457(10)-VOL E3-30;0,238;0,57;1,02;0,014;0,01;0,048;0,048;0,017;0,017;0,005
G 251;;CRIS;15/10/2010;412 F H4;WCB;CPO EMG 1830(8);;0,19;0,452;0,71;0,019;0,012;0,286;0,056;0,015;0,021;0,004
G 251;FABRIMAQ;CARRERA;14/10/2010;1303 F H1;WCB;CPO EMG 1830(10);HORQUILLA(6 CAJAS);0,22;0,6;0,86;0,015;0,013;0,195;0,164;0,027;0,027;0,005
G 251;FRANCUCCI;CARRERA;15/10/2010;1308 F H1;WCB;CPO EMG 1830(4);MAZA LOLINETE(8 CAJAS);0,238;0,483;0,73;0,017;0,015;0,264;0,087;0,02;0,033;0,004
G 251;GIRON;CARRERA;16/10/2010;1310FH1;WCB;CPO EMG 1830(4);VOL 3-300(12);0,226;0,484;0,89;0,017;0,019;0,091;0,053;0,017;0,03;0,002
G 251;ICEMEC;CARRERA;13/10/2010;404 F H3;WCB;CPO EMG 1830(5)/PORTARODAMIENT;MOD.457#10/VTE E 3-00#7;0,232;0,6;0,92;0,015;0,01;0,052;0,047;0,015;0,017;0,006
G 251;PETINARI;CARRERA;14/10/2010;1303 F H1;WCB;CPO EMG 1830(10);MOD 457(20);0,22;0,6;0,86;0,015;0,013;0,195;0,164;0,027;0,027;0,005
G 251;FABRIMAQ;CRIS;15/10/2010;1304 F H1;WCB;HORQUILLA (20);;0,246;0,356;0,81;0,017;0,014;0,125;0,065;0,02;0,032;0,003
G 252;;CRIS;15/10/2010;412 F H4;WCB;CPO EMG 1830(4);;0,19;0,452;0,71;0,019;0,012;0,286;0,056;0,015;0,021;0,004
G 252;PETINARI;CARRERA;15/10/2010;1308 F H1;WCB;CPO EMG 1830(5);MOD 457(10);0,238;0,483;0,73;0,017;0,015;0,264;0,087;0,02;0,033;0,004
G 252;AMRO;CARRERA;16/10/2010;1310FH1;WCB;CPO EMG 1830(4);GANCHO(8 CAJAS C/COLUMNA);0,226;0,484;0,89;0,017;0,019;0,091;0,053;0,017;0,03;0,002
G 253;FRANCUCCI;CARRERA;15/10/2010;1308 F H1;WCB;CPO EMG 1830(3);MAZA LOLINETE(8 CAJAS);0,238;0,483;0,73;0,017;0,015;0,264;0,087;0,02;0,033;0,004
G 254;PETINARI;CRIS;21/10/2010;1333 F H1;WCB;CPO EMG 1830(8);MOD 503(24);0,208;0,57;0,96;0,013;0,009;0,175;0,064;0,02;0,026;0,003
G 254;;CRIS;21/10/2010;442 F H4;WCB;CPO EMG 1830;;0,223;0,466;0,89;0,014;0,009;0,077;0,051;0,017;0,028;0,002
G 254;;CRIS;20/10/2010;435 F H4;WCB;CPO EMG 1830-3;VOL E8-150;0,219;0,52;0,96;0,015;0,012;0,057;0,046;0,017;0,036;0,002
G 254;;CARREA;20/10/2010;1332 F H1;WCB;CPO EMG 1830(6);;0,215;0,53;0,89;0,018;0,012;0,123;0,063;0,017;0,026;0,004
G 255;;CRIS;14/09/2010;1158 F H1;WCB;;;0,211;0,472;0,98;0,012;0,018;0,057;0,032;0,018;0,063;0,001
G 255;;CRIS;13/09/2010;263 F H4;WCB;;;0,241;0,417;0,65;0,016;0,012;0,042;0,035;0,016;0,027;0,008
G 255;;CRIS;08/10/2010;1282 F H2;WCB;VOL E8-150;VOL E3-300;0,239;0,382;0,81;0,015;0,011;0,193;0,072;0,02;0,025;0,003
H 468;;CRIS;30/08/2010;205 F H3;WCB;VOL 3-150;;0,214;0,57;0,88;0,015;0,014;0,108;0,048;0,022;0,042;0,004
H 639;;CRIS;12/07/2010;829 F H1;WCB;ANILLO E12-150/300 PARCIAL;;0,245;0,408;0,88;0,016;0,012;0,066;0,035;0,013;0,023;0,004
H 687;AR 1349-H 687;CRIS;05/07/2010;804 F H2;CF8M;CPO SC;;0,08;0,94;0,51;0,022;0,013;17,2;7,51;2,32;0,118;0,052
H 687;H 729-H720;H 687-AR 1228;01/07/2010;781 F H2;CF8M;CPO SC 3-900;;0,071;1,08;0,77;0,018;0,011;18,57;9,98;2,15;0,201;0,054
H 690;;RICHARD;08/07/2010;821(B)F  H1;WCB;ANILLO E12-150-300(18)-VOL FAC;TPA TL 2.5-150/PRENSA REDONDO-;0,22;0,328;0,68;0,015;0,009;0,08;0,05;0,015;0,029;0,002
H 709;LT ING;CARRERA;20/08/2010;170 F H3;WCB;PZAS(2);PLACA ENG(12)-2 COLUMNAS S/ID;0,242;0,55;0,89;0,022;0,017;0,107;0,073;0,02;0,048;0,004
H 709;;CARRERA;20/08/2010;1040 F H1;WCB;PZAS(2);PRENSA E12-150(4 PANES;0,23;0,414;0,89;0,021;0,012;0,339;0,048;0,014;0,026;0,008
H 715;;CARRERA;05/08/2010;974 F H1;WCB;SON DOS CAJAS;;0,199;0,394;0,81;0,015;0,016;0,065;0,02;0,017;0,064;0,002
H 715;;CRIS;06/08/2010;975 F H1;WCB;CUNA E10-300;;0,217;0,55;0,87;0,019;0,015;0,082;0,038;0,019;0,031;0,006
H 715;;CRIS;12/08/2010;997 F H1;WCB;;;0,236;0,361;1,02;0,019;0,017;0,149;0,064;0,02;0,053;0,002
H 720;H 729-H720;H 687-AR 1228;01/07/2010;781 F H2;CF8M;CPO R6-150;;0,074;1,08;0,76;0,021;0,011;18,52;9,99;2,18;0,206;0,055
H 724;;CRIS;23/08/2010;176 F H3;304/CF8M;CUNA E6-300 FLEX;;0,084;0,9;0,87;0,022;0,009;18,03;9,76;2,05;0,251;0,07
H 725;;GUS;27/09/2010;329FH3;WCB;TPA R2.5-150;;0,209;0,401;0,88;0,017;0,014;0,08;0,049;0,014;0,016;0,003
H 727;FAVRA OC 52341-THORSA/TAVAL 20;CRIS;06/08/2010;976 F H1;CF8M;CUNAS E6-300F(11);236X188X35-280X245X300;0,08;0,94;0,68;0,03;0,014;18,16;9,76;2;0,147;0,075
H 727;;CRIS;23/08/2010;176 F H3;304/CF8M;;;0,084;0,9;0,87;0,022;0,009;18,03;9,76;2,05;0,251;0,07
H 727;THORSA;CARRERA;25/08/2010;1060 F H2;CF8M;2  CAJAS;PRENSA G3-150(10 CAJAS);0,084;0,92;0,93;0,024;0,01;18,33;9,09;2,02;0,314;0,071
H 729;H 729-H720;H 687-AR 1228;01/07/2010;781 F H2;CF8M;CPO SC 6-150-300;;0,073;1,09;0,77;0,019;0,011;18,56;10,01;2,17;0,2;0,055
H 729;;CRIS;23/08/2010;176 F H3;304/CF8M;;;0,084;0,9;0,87;0,022;0,009;18,03;9,76;2,05;0,251;0,07
H 729;NUNEZ OC 149;CARRERA;29/07/2010;936 F H2;CF8M;CLAPETA SCH(30)-PALANCAS(4 CAJ;156X108X330(6);0,08;1,27;0,82;0,027;0,009;18,45;9,26;1,86;0,162;0,061
H 731;;CRIS;26/08/2010;H 731;CA15;CUNA E12-150;;0,142;1,16;0,499;0,029;0,01;11,54;0,264;0,092;0,056;0,069
H 731;TORRISI;CRIS;27/08/2010;1069 F H2;CA15;;1 PZA;0,113;0,66;0,486;0,018;0,008;13,52;0,315;0,04;0,068;0,086
H 731;TORRISI;CRIS;07/09/2010;1115 F H1;CA15;ARANA RECOLECTORA;;0,149;0,93;0,61;0,016;0,009;11,57;0,276;0,034;0,057;0,071
H 735;H735/PALANCA ENGR.;CARRERA;08/07/2010;27 F H3;WCB;CPO SC 4-1150(10);PLACA DE ENGRANAJE(6);0,207;0,408;0,88;0,02;0,011;0,109;0,044;0,018;0,021;0,004
H 736;;CRIS;30/07/2010;943 F H2;WC6;TPA 8-600;;0,18;0,63;0,87;0,02;0,007;1,23;0,5;0,5;0,027;0,01
H 737;;CRIS;30/07/2010;83 F H3;WC6;CPO 8-600(1);;0,201;0,63;0,78;0,023;0,009;1;0,488;0,476;0,027;0,009
H 738;;CRIS;13/08/2010;144 F H4;WCB;CPO G6-300;;0,221;0,455;0,97;0,022;0,018;0,069;0,055;0,019;0,048;0,003
H 739;;CRIS;13/08/2010;144 F H4;WCB;CPO G6-300;;0,221;0,456;0,97;0,023;0,018;0,07;0,056;0,019;0,048;0,003
H 740;;CARRERA;17/08/2010;1021 F H1;WCB;BTE G6-300(2);;0,198;0,393;0,94;0,019;0,01;0,109;0,047;0,016;0,031;0,003
H 741;;CRIS;18/08/2010;156 F H4;WCB;;;0,204;0,41;0,88;0,017;0,014;0,065;0,044;0,014;0,026;0,001
H 741;;CRIS;13/08/2010;143 F H4;WCB;CPO F6-150;;0,225;0,428;0,98;0,022;0,018;0,068;0,056;0,018;0,044;0,003
H 742;;CRIS;17/08/2010;154 F H4;WCB;TPA F6-150;PLAQ INF;0,221;0,431;0,99;0,024;0,018;0,159;0,108;0,029;0,065;0,003
H 742;;CRIS;18/08/2010;156 F H4;WCB;;;0,204;0,41;0,88;0,017;0,014;0,065;0,044;0,014;0,026;0,001
H 744;;CARRERA;25/08/2010;190 F H4;WCB;;;0,217;0,445;0,87;0,023;0,023;0,112;0,091;0,023;0,124;0,003
H 744;;CRIS;26/08/2010;1061 F H2;WCB;;;0,202;0,313;0,73;0,021;0,024;0,42;0,19;0,039;0,164;0,003
H 744;;CRIS;30/08/2010;205 F H3;WCB;VOL 3-150;;0,214;0,57;0,88;0,015;0,014;0,108;0,048;0,022;0,042;0,004
H 744;;CRIS;01/09/2010;1092 F H2;WCB;CUNA E12-150 F;;0,239;0,448;0,97;0,028;0,014;0,082;0,046;0,021;0,032;0,002
H 744;;CARRERA;14/09/2010;1161 F H1; WCB;CUNA E12-150F(4)-PUNTA DE LANZ;;0,231;0,56;0,85;0,02;0,051;0,063;0,049;0,016;0,065;0,003
H 744;;CARRERA;30/08/2010;210 F H3;WCB;TORRE 6-900(1)-TPA 6-900(1);;0,247;0,54;0,76;0,016;0,011;0,087;0,054;0,014;0,025;0,005
H 745;;CARRERA;20/07/2010;887 F H1;WCB;BISAGRA RET 4-600(9)-CPO STUFF;VOL TROSARELLO(5)-VOL4-600(3)G;0,219;0,5;0,77;0,019;0,013;0,038;0,028;0,012;0,015;0,002
H 746;;CRIS;29/07/2010;935 F H2;CA15;CUNA E2-150 SOL;;0,15;0,94;0,456;0,026;0,01;13,83;0,94;0,35;0,068;0,081
H 747;;CRIS;02/08/2010;948 F H2; CA15;CUNA E8-150;;0,146;0,93;0,64;0,023;0,008;14,27;0,318;0,047;0,075;0,096
H 747;H 747;CRIS;19/07/2010;877 F H1;CA15;CLAP. RET. 4-600;;0,146;0,85;0,52;0,023;0,01;13,62;0,308;0,023;0,068;0,087
H 748;;CRIS;06/08/2010;976 F H1;CF8M;CPO DUO CHECK 3-150/600;BISAGRA RET 4-150/300;0,081;0,94;0,68;0,03;0,014;18,16;9,76;1,96;0,147;0,075
H 749;;CRIS;06/08/2010;975 F H1;WCB;CUNA E12-150;;0,217;0,55;0,87;0,019;0,015;0,082;0,038;0,019;0,031;0,006
H 749;;CARRERA;11/08/2010;996 F H1;WCB;CUNA E12-150(1);;0,219;0,487;0,93;0,018;0,011;0,158;0,042;0,018;0,029;0,003
H 749;;CRIS;12/08/2010;997 F H1;WCB;;;0,236;0,361;1,02;0,019;0,017;0,149;0,064;0,02;0,053;0,002
H 749;;CRIS;17/08/2010;1017 F H1;WCB;CUNA E12-150(2);;0,223;0,388;1,02;0,025;0,022;0,083;0,086;0,023;0,063;0,003
H 750;EMU;CRIS;10/08/2010;123 F H4;WCB;;VOL E2-150-4 PIEZAS;0,227;0,453;0,96;0,021;0,015;0,062;0,043;0,02;0,043;0,003
H 750;LT ING;CARRERA;09/08/2010;122 F H4;WCB;CUNA E6-600F(4);PLACA ENG(4)-VOL E2-150(12)-VO;0,193;0,48;0,89;0,019;0,014;0,081;0,039;0,019;0,027;0,003
H 750;;CARRERA;26/08/2010;1065 F H2;WCB;CUNA E6-600 F(10)-CUNA E2-150(;;0,249;0,63;0,95;0,034;0,018;0,14;0,076;0,021;0,046;0,003
H 750;;CRIS;01/09/2010;1094 F H2;WCB;CUNA E6-600 F;ANILLO 2.5-150(5 CAJAS)-BALANC;0,21;0,484;0,87;0,024;0,011;0,063;0,041;0,018;0,019;0,002
H 750;COSTA/LIDERAR;CRIS;02/09/2010;1103 F H2;WCB;252X160X250(3);PLACAS(2);0,18;0,447;0,7;0,027;0,012;0,056;0,037;0,017;0,019;0,001
H 750;;CRIS;02/09/2010;1099 F H2;WCB;;;0,215;0,498;0,95;0,027;0,012;0,066;0,039;0,017;0,018;0,002
H 751;;CRIS;13/08/2010;1005 F H1;C5;CPO E6-150-BTE E6-150;;0,134;0,75;0,66;0,027;0,011;4,98;0,088;0,548;0,036;0,038
H 751;;CRIS;04/08/2010;962 F H2;C5;CPO 6-150(1)-BTE 6-150(1);;0,157;0,62;0,59;0,02;0,01;0,53;0,04;0,51;0,02;0,007
H 752;;CRIS;09/08/2010;984 F H1;WCB;ANILLO E12-150(26);VOL E6-300;0,242;0,452;0,69;0,02;0,014;0,111;0,054;0,02;0,04;0,004
H 753;THORSA;CARRERA;25/08/2010;1060 F H2;CF8M;;PRENSA G3-150(10 CAJAS);0,084;0,92;0,93;0,024;0,01;18,33;9,09;2,02;0,314;0,071
H 754;;CARRERA;03/09/2010;1112 R H1;CF8M;;;0,08;0,9;0,78;0,026;0,01;19,12;8,85;1,75;0,285;0,073
H 754;;CRIS;23/08/2010;176 F H3;304/CF8M;;;0,08;0,9;0,87;0,022;0,009;18,03;9,76;2,05;0,251;0,07
H 754;NUNEZOC172-OC145;CRIS;30/08/2010;1080 F H2;AISI 304;180X117X360(3)/180X100X360(2);95X55X330(5);0,078;0,94;0,89;0,023;0,012;18,32;8,4;0,65;0,52;0,071
H 755;;CRIS;31/08/2010;1084 F H2;CF8M;CPO R2.5-150;;0,08;0,98;0,83;0,023;0,011;18,1;9,31;2,32;0,388;0,071
H 756;;CRIS;08/09/2010;1125 F H1;CF8M;CPO R2.5-150;;0,075;1,03;0,87;0,024;0,014;20,02;9,39;2,05;0,251;0,085
H 756;THORSA;CARRERA;25/08/2010;1060 F H2;CF8M;TPA R2.5-150(8);PRENSA G3-150(10 CAJAS);0,08;0,92;0,93;0,024;0,01;18,33;9,09;2,02;0,314;0,071
H 756;;CRIS;23/08/2010;176 F H3;304/CF8M;;;0,08;0,9;0,87;0,022;0,009;18,03;9,76;2,05;0,251;0,07
H 757;;CRIS;16/09/2010;1172 F H1;CF8M;CPO R2.5-150;;0,075;0,9;0,82;0,022;0,012;18,38;9,28;2,4;0,34;0,077
H 757;;CRIS;17/09/2010;1179 F H1;CF8M;;;0,081;1,5;0,64;0,022;0,012;18,31;9,2;2,19;0,289;0,076
H 758;THORSA oc6203/6272;CARRERA;25/08/2010;1060 F H2;CF8M;;PRENSA G3-150(10 CAJAS);0,08;0,92;0,93;0,024;0,01;18,33;9,09;2,02;0,314;0,071
H 758;;CRIS;16/09/2010;1172 F H1;CF8M;TPA R2.5-150;;0,075;0,9;0,82;0,022;0,012;18,38;9,28;2,4;0,34;0,077
H 759;THORSA;CARRERA;25/08/2010;1060 F H2;CF8M;5  CAJAS;PRENSA G3-150(10 CAJAS);0,08;0,92;0,93;0,024;0,01;18,33;9,09;2,02;0,314;0,071
H 759;;CRIS;08/09/2010;1126 F H1;CF8M;BTE E2-900/1500;CLAPETA R2.5-150;0,079;0,91;0,87;0,022;0,013;18,23;9,05;2,06;0,218;0,082
H 760;;CRIS;23/08/2010;1046 F H1;WCB;;;0,22;0,373;0,84;0,019;0,013;0,145;0,073;0,019;0,04;0,004
H 760;AR1450#2/H760#4H761#2/H761#3;CARRERA;18/08/2010;158 F H3;WCB;;;0,224;0,53;0,86;0,023;0,011;0,102;0,059;0,015;0,023;0,003
